MdctStateId,MdctYear,MdctQuarter,MdctStateForm,MdctFormId,MdctForm,MdctFormName,MdctStatusId,MdctStatus,MdctNotApplicable,MdctProgramCode,MdctValidationPercent,MdctStateComments_Type,MdctStateComments_Entry,MdctStatusModifiedBy,MdctStatusDate,MdctLastModifiedBy,MdctLastModified,MdctCreatedBy,MdctCreatedDate
AL,2021,1,AL-2021-1-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
AR,2019,1,AR-2019-1-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
AR,2019,3,AR-2019-3-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
AR,2020,1,AR-2020-1-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
AR,2020,4,AR-2020-4-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
AR,2021,1,AR-2021-1-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
AZ,2019,1,AZ-2019-1-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
AZ,2020,2,AZ-2020-2-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
AZ,2021,2,AZ-2021-2-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
CA,2020,1,CA-2020-1-21E,1,21E,Number of Children Served in Separate CHIP Program,1,In Progress,FALSE,All,0.03,text_multiline,NULL,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633,Legacy SEDS,2021-06-22T11:29:09.633
