MdctQuestion,MdctStateForm,MdctAnswerEntry,MdctDescription,MdctRangeId,MdctLastModifiedBy,MdctLastModified,MdctCreatedBy,MdctCreatedDate,MdctRows
2019-21PW-01,CO-2019-2-21PW,CO-2019-2-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""259"", ""col3"": ""171"", ""col4"": ""603"", ""col5"": ""221"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,CO-2019-3-21PW,CO-2019-3-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""302"", ""col3"": ""255"", ""col4"": ""612"", ""col5"": ""182"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,CO-2019-4-21PW,CO-2019-4-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""240"", ""col3"": ""207"", ""col4"": ""578"", ""col5"": ""178"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,MO-2019-1-21PW,MO-2019-1-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,MO-2019-2-21PW,MO-2019-2-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,MO-2019-3-21PW,MO-2019-3-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,MO-2019-4-21PW,MO-2019-4-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,NJ-2019-1-21PW,NJ-2019-1-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""28"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""140"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,NJ-2019-2-21PW,NJ-2019-2-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""49"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""0"", ""col3"": ""136"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,NJ-2019-3-21PW,NJ-2019-3-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""35"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""0"", ""col3"": ""146"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-21PW-01,NJ-2019-4-21PW,NJ-2019-4-21PW-1964-01,Ages 19 - 64,1964,Legacy SEDS,2021-06-22T11:45:26.117,Legacy SEDS,2021-06-22T11:45:26.117,"{""col1"": """", ""col2"": ""% of FPL 0-133"", ""col3"": ""% of FPL 134-200"", ""col4"": ""% of FPL 201-250"", ""col5"": ""% of FPL 251-300"", ""col6"": ""% of FPL 301-317""}, {""col1"": ""A. Fee For Service"", ""col2"": ""0"", ""col3"": ""33"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""B. Man Care Arngmt"", ""col2"": ""0"", ""col3"": ""150"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} , {""col1"": ""C. Pri Care CA Mgt"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
