MdctQuestion,MdctStateForm,MdctAnswerEntry,MdctDescription,MdctRangeId,MdctLastModifiedBy,MdctLastModified,MdctCreatedBy,MdctCreatedDate,MdctRows
2019-GRE-01,AK-2019-1-GRE,AK-2019-1-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""0"", ""col3"": ""7598"", ""col4"": ""7598"", ""col5"": ""44491"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""0"", ""col3"": ""8036"", ""col4"": ""8036"", ""col5"": ""46798"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-GRE-01,AK-2019-2-GRE,AK-2019-2-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""0"", ""col3"": ""7773"", ""col4"": ""7773"", ""col5"": ""44580"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""0"", ""col3"": ""8295"", ""col4"": ""8295"", ""col5"": ""46984"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-GRE-01,AK-2019-3-GRE,AK-2019-3-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""7819"", ""col3"": ""0"", ""col4"": ""7819"", ""col5"": ""44706"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""8380"", ""col3"": ""0"", ""col4"": ""8380"", ""col5"": ""47241"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-GRE-01,AK-2019-4-GRE,AK-2019-4-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""0"", ""col3"": ""8127"", ""col4"": ""8127"", ""col5"": ""44853"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""0"", ""col3"": ""8669"", ""col4"": ""8669"", ""col5"": ""47359"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-GRE-01,AL-2019-1-GRE,AL-2019-1-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""46979"", ""col3"": ""49413"", ""col4"": ""96392"", ""col5"": ""251800"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""48672"", ""col3"": ""49042"", ""col4"": ""97714"", ""col5"": ""262217"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""1"", ""col3"": ""7"", ""col4"": ""8"", ""col5"": ""4628"", ""col6"": ""0""} "
2019-GRE-01,AL-2019-2-GRE,AL-2019-2-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""47004"", ""col3"": ""48618"", ""col4"": ""95622"", ""col5"": ""249265"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""48617"", ""col3"": ""48254"", ""col4"": ""96871"", ""col5"": ""259816"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""3"", ""col4"": ""3"", ""col5"": ""4541"", ""col6"": ""0""} "
2019-GRE-01,AL-2019-3-GRE,AL-2019-3-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""47619"", ""col3"": ""46114"", ""col4"": ""93733"", ""col5"": ""240712"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""45895"", ""col3"": ""45845"", ""col4"": ""91740"", ""col5"": ""251146"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""1"", ""col4"": ""1"", ""col5"": ""4630"", ""col6"": ""0""} "
2019-GRE-01,AL-2019-4-GRE,AL-2019-4-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""46710"", ""col3"": ""46273"", ""col4"": ""92983"", ""col5"": ""243896"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""48741"", ""col3"": ""46117"", ""col4"": ""94858"", ""col5"": ""254252"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""1"", ""col4"": ""1"", ""col5"": ""4693"", ""col6"": ""0""} "
2019-GRE-01,AR-2019-1-GRE,AR-2019-1-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""27190"", ""col3"": ""16240"", ""col4"": ""43430"", ""col5"": ""176205"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""28378"", ""col3"": ""16411"", ""col4"": ""44789"", ""col5"": ""183897"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""1381"", ""col3"": ""0"", ""col4"": ""1381"", ""col5"": ""1"", ""col6"": ""0""} "
2019-GRE-01,AR-2019-2-GRE,AR-2019-2-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""28142"", ""col3"": ""16353"", ""col4"": ""44495"", ""col5"": ""174310"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""29328"", ""col3"": ""16379"", ""col4"": ""45707"", ""col5"": ""182086"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""1439"", ""col3"": ""1"", ""col4"": ""1440"", ""col5"": ""4"", ""col6"": ""0""} "
2019-GRE-01,AR-2019-3-GRE,AR-2019-3-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""28202"", ""col3"": ""16850"", ""col4"": ""45052"", ""col5"": ""175179"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""29405"", ""col3"": ""16710"", ""col4"": ""46115"", ""col5"": ""182676"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""1515"", ""col3"": ""0"", ""col4"": ""1515"", ""col5"": ""3"", ""col6"": ""0""} "
2019-GRE-01,AR-2019-4-GRE,AR-2019-4-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""27686"", ""col3"": ""17338"", ""col4"": ""45024"", ""col5"": ""178445"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""28953"", ""col3"": ""17266"", ""col4"": ""46219"", ""col5"": ""185712"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""1723"", ""col3"": ""0"", ""col4"": ""1723"", ""col5"": ""4"", ""col6"": ""0""} "
2019-GRE-01,AZ-2019-1-GRE,AZ-2019-1-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""18759"", ""col3"": ""36753"", ""col4"": ""55512"", ""col5"": ""392281"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""19549"", ""col3"": ""38048"", ""col4"": ""57597"", ""col5"": ""403399"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
2019-GRE-01,AZ-2019-2-GRE,AZ-2019-2-GRE-0018-01,All Ages,18,Legacy SEDS,2021-06-22T13:02:28.430,Legacy SEDS,2021-06-22T13:02:28.430,"{""col1"": """", ""col2"": ""21E Enrolled"", ""col3"": ""64.21E Enrolled"", ""col4"": ""Total CHIP Enrolled"", ""col5"": ""64.EC Enrolled"", ""col6"": ""21PW Enrolled""}, {""col1"": ""1. Female"", ""col2"": ""18635"", ""col3"": ""36362"", ""col4"": ""54997"", ""col5"": ""383444"", ""col6"": ""0""} , {""col1"": ""2. Male"", ""col2"": ""19383"", ""col3"": ""37605"", ""col4"": ""56988"", ""col5"": ""394932"", ""col6"": ""0""} , {""col1"": ""3. Unspecified Gender"", ""col2"": ""0"", ""col3"": ""0"", ""col4"": ""0"", ""col5"": ""0"", ""col6"": ""0""} "
